FONDO;CONCURSO;ANIO;CONTRATO;TITULO;FECHA_INICIO;FECHA_FIN;NOMBRE_SOLICITANTE;DISTRITO;PROVINCIA;DEPARTAMENTO;UBIGEO;MONTO_RNR;MONTO_FINANCIERO;MONTO_NO_FINANCIERO;MONEDA;FECHA_CORTE;;;;
FINCYT I;PITEA;2008;024-FINCYT-PITEA-2008;IMPLEMENTACIÃ“N Y VALIDACIÃ“N DE TECNOLOGAS PARA EL MANEJO DEL CULTIVO DE CAMU CAMU MYRCIARIA DUBIA A ESCALA COMERCIAL EN LA REGION UCAYALI;20080417;20101030;PALMAGRO S.A.C.;CALLERIA;CORONEL PORTILLO;UCAYALI;250101;721685;113300;447220;SOLES;20230706;;;;
FINCYT I;PITEA;2008;025-FINCYT-PITEA-2008;DESARROLLO DE TECNOLOGIA PARA EL DISEÃ‘O Y CONSTRUCCIÃ“N DE UN FOTOBIOREACTOR  PILOTO PARA LA PRODUCCIÃ“N DE MICROALGAS (FBR-MA) PARA BIODIESEL Y OTRAS APLICACIONES;20080521;20111130;ECOENERGIAS DEL PERU S.A.C.;PIURA;PIURA;PIURA;200101;578767.31;4491.46;77800;SOLES;20230706;;;;
FINCYT I;PITEA;2008;023-FINCYT-PITEA-2008;PRODUCCION DE MACA FRESCA Y SUBPRODUCTOS EN EPOCAS DE ESCASEZ DE ALTO CONTENIDO DE GLUCOSINOLATOS Y ALTO VALOR NUTRICIONAL EN ZONAS ALTOANDINAS PRODUCTORAS DEL PERU;20080327;20100626;ASOCIACION DE PRODUCTORES DE MACA DEL VALLE DEL MANTARO;CHILCA;HUANCAYO;JUNIN;120107;502543.67;49506;68000;SOLES;20230706;;;;
FINCYT I;PITEA;2008;021-FINCYT-PITEA-2008;"SISTEMA PARA ELEVAR LA PRODUCTIVIDAD\; RENTABILIDAD Y COMPETITIVIDAD DE LAS PYMES MANUFACTURERAS";20080318;20110130;INTELIBIZ PERU SOCIEDAD ANONIMA;SANTIAGO DE SURCO;LIMA;LIMA;150140;229052.63;17332;18620;SOLES;20230706;;;;
FINCYT I;PITEA;2008;030-FINCYT-PITEA-2008;DESARROLLO Y VALIDACIÃ“N DE CARENET: UNA SOLUCION TECNOLOGICA PARA MEJORAR LA ADHERENCIA Y EL MANEJO DE PACIENTES CON ENFERMEDADES CRONICAS.;20080428;20120327;VOXIVA S.R.L.;MIRAFLORES;LIMA;LIMA;150122;705235.91;40618.77;79895.71;SOLES;20230706;;;;
FINCYT I;PITEA;2008;035-FINCYT-PITEA-2008;MEJORAMIENTO DE TECNOLOGIA DE SIEMBRA EN CULTIVOS HORTICOLAS DE ALTO VALOR EN LA REGION AREQUIPA;20080604;20110615;SEMILLAS AGRARIAS S.A.C.;SAN BORJA;LIMA;LIMA;150130;48443.99;8986.54;20000;SOLES;20230706;;;;
FINCYT I;PITEA;2008;042-FINCYT-PITEA-2008;PREVENCION DE ENFERMEDADES Y MEJORAMIENTO GENETICO DEL CAMARON LITOPENAEUS VANNAMEI.;20080723;20111212;MARINAZUL S.A.;SANTIAGO DE SURCO;LIMA;LIMA;150140;641531.32;168273;557414;SOLES;20230706;;;;
FINCYT I;PITEA;2008;038-FINCYT-PITEA-2008;DESARROLLO Y VALIDACION DE CONSULTAGRARIA.NET UN INNOVADOR SERVICIO BASADO EN TICS PARA COMERCIALIZAR INFORMACION TECNICO-COMERCIAL A PEQUEÃ‘OS PRODUCTORES AGROPECUARIOS EN VALLES INTERANDINOS.;20080715;20130114;VOXIVA S.R.L.;MIRAFLORES;LIMA;LIMA;150122;611561.33;63331.87;77336.2;SOLES;20230706;;;;
FINCYT I;PITEA;2009;013-FINCYT-PITEA-2009;USO DEL ADN PARA LA IDENTIFICACIÃ“N Y DETECCIÃ“N MOLECULAR DE TRIPANOSOMATIDOS PARA EL CONTROL TEMPRANO DE ENFERMEDADES DE LA PALMA ACEITERA;20090128;20121215;BIO LINKS S.A.;MAGDALENA DEL MAR;LIMA;LIMA;150120;344992;52160;221304;SOLES;20230706;;;;
FINCYT I;PITEA;2008;062-FINCYT-PITEA-2008;OPTIMIZACIÃ“N DEL BANCO DE GERMOPLASMA DE ALGODON DE LA ASOCIACION DE AGRICULTORES DE CAÃ‘ETE USANDO ESTRATEGIAS MOLECULARES Y MORFOLOGICAS PARA FINES DE MEJORAMIENTO GENÃ‰TICO.;20081006;20110530;BIO LINKS S.A.;MAGDALENA DEL MAR;LIMA;LIMA;150120;345945;85900;343544;SOLES;20230706;;;;
FINCYT I;PITEA;2008;086-FINCYT-PITEA-2008;EVALUACIÃ“N COMPARATIVA DEL BENEFICIO HÃšMEDO TRADICIONAL INDIVIDUAL CON EL BENEFICIO HUMEDO CENTRALIZADO Y SUS EFECTOS EN LA CALIDAD DE LOS CAFES ESPECIALES EN EL VALLE DE CHANCHAMAYO - JUNIN;20081021;20110530;CENTRAL DE ORGANIZACIONES PRODUCTORAS DE CAFE Y CACAO DEL PERU- CAFE PERU;LIMA;LIMA;LIMA;150101;314408.53;106356.47;78000;SOLES;20230706;;;;
FINCYT I;PITEA;2009;024-FINCYT-PITEA-2009;CARACTERIZACION Y DOMESTICACION DE LA FLORA MICROBIANA DEL TRACTO DIGESTIVO DEL LANGOSTINO LITOPENAEUS VANNAMEI PARA LA PREVENCION DE ENFERMEDADES BACTERIANAS Y EL INCREMENTO DE LA PRODUCTIVIDAD;20090217;20120105;MARINAZUL S.A.;SANTIAGO DE SURCO;LIMA;LIMA;150140;377337.3;115524;140760;SOLES;20230706;;;;
FINCYT I;PITEA;2009;042-FINCYT-PITEA-2009;DESARROLLO TECNOLOGIA APROPIADA PARA LA BIODIEGESTION Y COMPUSTAJE DE SUBPRODUCTOS DE LA INDUSTRIA VITIVINICOLA EN LA REGION AREQUIPA;20090330;20111231;VIÃ‘A VITOR S.A.C.;CAYMA;AREQUIPA;AREQUIPA;40103;53168.5;10031.5;28650;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;029-FINCYT-PIBAP-2009;ESTUDIO DE LA VARIABILIDAD GENETICA DEL CAFE Y ESTABLECIMIENTO DE UN BANCO DE GERMOPLASMA EN LA SELVA PERUANA;20090204;20120203;FUNDACION PARA EL DESARROLLO AGRARIO;JESUS MARIA;LIMA;LIMA;150113;373852.75;0;51264;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;030-FINCYT-PIBAP-2009;"GENERACION DE TECNOLOGIAS DE COSECHA Y POST COSECHA PARA MEJORAR LA CALIDAD DE ACEITE DEL PIÃ‘ON BLANCO JATROPHA CURCAS\; EN LA REGION SAN MARTIN";20090420;20120619;INSTITUTO NACIONAL DE INNOVACION AGRARIA;TARAPOTO;SAN MARTIN;SAN MARTIN;220901;312407.54;0;92520;SOLES;20230706;;;;
